obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur
FRN-1887-2,820bdefc-1e42-11e4-b4cd-db5882bf8def,220,FRN,Tirard,1887-12-11,1888-04-03,Regular,Regular,Regular,0,OK,M,1837,1893,NA,NA,NA,0,1,0,0,NA,NA
FRN-1889,820bdefc-1e42-11e4-b4cd-db5882bf8def,220,FRN,Tirard,1889-02-21,1890-03-13,Regular,Regular,Regular,1,OK,M,1837,1893,NA,NA,NA,0,1,0,0,NA,NA
SWZ-1883,820dc751-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Ruchonnet,1883-01-01,1883-12-31,Regular,Regular,Regular,0,OK,M,1834,1893,1834-04-28,NA,http://dbpedia.org/resource/Louis_Ruchonnet,0,1,0,0,NA,NA
SWZ-1890,820dc751-1e42-11e4-b4cd-db5882bf8def,225,SWZ,Ruchonnet,1890-01-01,1890-12-31,Regular,Regular,Regular,1,OK,M,1834,1893,1834-04-28,NA,http://dbpedia.org/resource/Louis_Ruchonnet,0,1,0,0,NA,NA
TRA-1877,8239d784-1e42-11e4-b4cd-db5882bf8def,563,TRA,Shepstone,1877-04-12,1879-03-04,Foreign Imposition,Regular,Regular,0,OK,M,1817,1893,NA,NA,NA,2,1,0,0,NA,NA
CAN-1892,81dde678-1e42-11e4-b4cd-db5882bf8def,20,CAN,Thompson,1892-12-05,1894-12-12,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1845,1894,NA,NA,NA,0,2,0,-777,NA,NA
NIC-1871,81e8c5e2-1e42-11e4-b4cd-db5882bf8def,93,NIC,Quadra,1871-03-01,1875-03-01,Regular,Regular,Regular,0,OK,M,1812,1894,NA,NA,NA,0,1,0,0,NA,NA
NIC-1875,81e8c5e3-1e42-11e4-b4cd-db5882bf8def,93,NIC,Chamorro,1875-03-01,1879-03-01,Regular,Regular,Regular,0,OK,M,1818,1894,NA,NA,NA,0,1,0,0,Father of Diego Chamorro%81e95864-1e42-11e4-b4cd-db5882bf8def,0
COL-1880,81f3a54e-1e42-11e4-b4cd-db5882bf8def,100,COL,Nunez,1880-04-08,1882-04-01,Regular,Regular,Regular,0,OK,M,1825,1894,1825-09-28,1894-09-18,http://dbpedia.org/resource/Rafael_N%C3%BA%C3%B1ez_%28politician%29,0,1,0,0,NA,NA
COL-1884,81f3a54e-1e42-11e4-b4cd-db5882bf8def,100,COL,Nunez,1884-04-01,1894-09-12,Regular,Regular,Regular,1,OK,M,1825,1894,NA,1894-09-18,http://dbpedia.org/resource/Rafael_N%C3%BA%C3%B1ez_%28politician%29,0,1,0,0,NA,NA
PER-1890,81f8fc9d-1e42-11e4-b4cd-db5882bf8def,135,PER,Bermudez,1890-08-10,1894-04-01,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1836,1894,NA,NA,http://dbpedia.org/resource/Remigio_Morales_Berm%C3%BAdez,0,2,0,-777,Grandfather of Morales Bermudez%81fa5269-1e42-11e4-b4cd-db5882bf8def,0
URU-1873,82049f5f-1e42-11e4-b4cd-db5882bf8def,165,URU,Jose Eugenio Ellauri,1873-02-15,1875-01-15,Regular,Irregular,Unknown,0,Exile,M,1834,1894,NA,NA,NA,0,3,-999,1,NA,NA
FRN-1879-1,820b7d4d-1e42-11e4-b4cd-db5882bf8def,220,FRN,Waddington,1879-02-04,1879-12-21,Regular,Regular,Regular,0,OK,M,1826,1894,NA,NA,http://dbpedia.org/resource/William_Henry_Waddington,0,1,0,0,NA,NA
RUS-1881,822047fd-1e42-11e4-b4cd-db5882bf8def,365,RUS,Alexander III,1881-03-13,1894-11-01,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1845,1894,NA,1894-11-01,http://dbpedia.org/resource/Alexander_III_of_Russia,0,2,0,-777,NA,NA
SWD-1888,35debe98-3bbd-11e5-afeb-eb6f07f9fec7,380,SWD,Bildt,1888-02-06,1889-10-12,Regular,Regular,Regular,0,OK,M,1820,1894,NA,NA,http://dbpedia.org/resource/Gillis_Bildt,0,1,0,0,Direct ancestor (grandfather+) of Bildt%35debe98-3bbd-11e5-afeb-eb6f07f9fec7,NA
MOR-1873,823b8f00-1e42-11e4-b4cd-db5882bf8def,600,MOR,Abu Ali al-Hasan,1873-09-25,1894-06-07,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1827,1894,NA,NA,NA,0,2,0,-777,NA,NA
HON-1883-2,81e67be6-1e42-11e4-b4cd-db5882bf8def,91,HON,Bogran,1883-11-30,1891-11-30,Regular,Regular,Regular,0,Exile,M,1849,1895,NA,NA,http://dbpedia.org/resource/Luis_Bogr%C3%A1n,0,1,0,1,NA,NA
BRA-1891,81fae4ee-1e42-11e4-b4cd-db5882bf8def,140,BRA,Peixoto,1891-11-23,1894-11-15,Regular,Regular,Regular,0,OK,M,1839,1895,1839-04-30,NA,http://dbpedia.org/resource/Floriano_Peixoto,0,1,0,0,NA,NA
NTH-1877,8208a0d5-1e42-11e4-b4cd-db5882bf8def,210,NTH,Kappeye van de Coppello,1877-11-03,1879-08-11,Regular,Regular,Regular,0,OK,M,1822,1895,1822-11-08,NA,http://dbpedia.org/resource/Jan_Kappeyne_van_de_Coppello,0,1,0,0,NA,NA
SWZ-1878,19b08aa8-3bbd-11e5-afeb-eb6f07f9fec7,225,SWZ,Schenck,1878-01-01,1878-12-31,Regular,Regular,Regular,3,OK,M,1823,1895,1823-12-01,NA,NA,0,1,0,0,NA,NA
SWZ-1885,19b08aa8-3bbd-11e5-afeb-eb6f07f9fec7,225,SWZ,Schenck,1885-01-01,1885-12-31,Regular,Regular,Regular,4,OK,M,1823,1895,1823-12-01,NA,NA,0,1,0,0,NA,NA
DOM-1962-1,81e1b71d-1e42-11e4-b4cd-db5882bf8def,42,DOM,Echavarria,1962-01-17,1962-01-19,Irregular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1925,-777,NA,NA,NA,1,3,6,2,NA,NA
SWZ-1893,19b08aa8-3bbd-11e5-afeb-eb6f07f9fec7,225,SWZ,Schenck,1893-01-01,1893-12-31,Regular,Regular,Regular,5,OK,M,1823,1895,1823-12-01,NA,NA,0,1,0,0,NA,NA
TBT-1886,82445542-1e42-11e4-b4cd-db5882bf8def,711,TBT,Demo Tulku Trinley Rabgyey,1886-06-15,1895-01-08,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,-999,1895,NA,1895-01-08,NA,0,2,0,-777,NA,NA
